sku,name,description,stock,price
FE001,Martillo de carpintero,Martillo de acero con mango ergonómico de goma para uso profesional,45,15.99
FE002,Destornillador Phillips,Destornillador de estrella con mango antideslizante para trabajos de precisión,78,5.50
FE003,Taladro eléctrico 750W,Taladro percutor con velocidad variable y portabrocas de 13mm,12,89.95
FE004,Juego de llaves Allen,Set de 10 llaves hexagonales de diferentes medidas en estuche plástico,34,12.75
FE005,Sierra circular,Sierra eléctrica de 1200W con disco de 7 1/4" para cortes precisos,8,129.90
FE006,Cinta métrica 5m,Cinta métrica retráctil con bloqueo y gancho magnético,56,7.25
FE007,Nivel de burbuja 60cm,Nivel profesional de aluminio con precisión de 0.5mm/m,23,18.50
FE008,Alicates universales,Alicates multifunción con mango aislado para trabajos eléctricos,47,9.99
FE009,Juego de brocas,Set de 15 brocas para metal y madera en diferentes diámetros,19,22.80
FE010,Pintura acrílica blanca,Bote de 4L de pintura lavable para interiores de secado rápido,31,34.95
FE011,Caja de herramientas,Caja plástica resistente con bandeja extraíble y cierre seguro,15,27.50
FE012,Silicona selladora,Sellador de silicona transparente resistente al agua y moho,42,6.75
FE013,Escalera plegable,Escalera de aluminio de 4 peldaños con sistema de seguridad,7,68.30
FE014,Tornillos para madera,Paquete de 100 tornillos autorroscantes de 4x40mm,85,8.25
FE015,Guantes de trabajo,Par de guantes de piel reforzados con ajuste en muñeca,64,11.50
FE016,Cerradura de puerta,Cerradura de seguridad con tres llaves y sistema anti-taladro,26,42.90
FE017,Flexómetro 3m,Cinta métrica de bolsillo con carcasa resistente a impactos,53,4.99
FE018,Disco de corte metal,Disco abrasivo para amoladora de 115mm para cortar metal,38,3.75
FE019,Pistola de silicona,Aplicador manual para cartuchos de silicona estándar,21,14.25
FE020,Barniz protector madera,Barniz transparente satinado para protección exterior e interior,17,19.80
FE021,Lijadora orbital,Lijadora eléctrica de 300W con sistema de recogida de polvo,9,75.50
FE022,Clavos 2 pulgadas,Caja de 250g de clavos de acero templado para construcción,96,5.20
FE023,Cepillo carpintero,Cepillo manual tradicional con base y cuchilla ajustable,14,32.75
FE024,Llave inglesa 12",Llave ajustable profesional de cromo vanadio,29,16.40
FE025,Candado de seguridad,Candado resistente a la intemperie con cuerpo de latón macizo,37,13.95
FE026,Malla mosquitera,Rollo de 5x1m de malla de fibra para ventanas y puertas,22,10.60
FE027,Adhesivo instantáneo,Pegamento universal de secado rápido para múltiples materiales,68,4.30
FE028,Sierra de mano,Sierra para corte de madera con mango ergonómico,43,11.25
FE029,Cable eléctrico 10m,Cable de cobre flexible multifilar aislado 2.5mm²,25,15.75
FE030,Brocha pintura 3",Brocha profesional con cerdas naturales y mango de madera,59,6.80